slug,product_id,rating,review_date,updated_date,status,sweetness,body_level,acidity_level,descriptor_ids,method_facet,abv_bucket,wine_color
lapos-negroni,TDS-0040,81,2026-09-18,2026-09-20,published,2,,,orange_peel,not-applicable,half,
heidemanns-bergweiler-riesling,TDS-0017,79,2026-09-18,2026-09-20,published,2,1,3,"lime,green_apple,slate",unpublished,zero,white
de-nada-rose,TDS-0070,79,2026-09-18,2026-09-20,published,,1,,"red_berry,citrus",unpublished,half,rose
st-regis-non-alcoholic-rose,TDS-0095,76,2026-09-18,2026-09-20,published,2,2,3,"strawberry,raspberry,balsamic,molasses",vacuum-distillation,half,rose
biagio-cru-rose-all-day,TDS-0026,71,2026-09-18,2026-09-20,published,2,1,3,red_berry,unpublished,zero,rose
missing-thorn-still-white,TDS-0067,81,2026-09-18,2026-09-20,published,,1,3,lychee,unpublished,half,white
noughty-dealcoholized-rose,TDS-0027,84,2026-09-18,2026-09-20,published,,,,apricot,spinning-cone,half,rose
noughty-sparkling-chardonnay,TDS-0098,84,2026-09-18,2026-09-20,published,2,1,,"apple,lemon",vacuum-distillation,zero,sparkling
dc-brau-pale-ale,TDS-0009,76,2026-09-18,2026-09-20,published,2,1,,"citrus,biscuit",other,half,
baladin-passione-in-rosso,TDS-0091,80,2026-09-18,2026-09-20,published,2,,,"orange,botanical",not-applicable,zero,
eric-bordelet-perlant,TDS-0055,86,2026-09-18,2026-09-20,published,,1,,"floral,apple",not-applicable,zero,
stagrestis-phony-negroni,TDS-0038,86,2026-09-18,2026-09-20,published,2,,,"gentian,hops",not-applicable,zero,
ollivier-cottenceau-phenomene,TDS-0060,84,2026-09-18,2026-09-20,published,2,,3,green_apple,unpublished,half,white
butter-zero-pinot-noir,TDS-0079,75,2026-09-18,2026-09-20,published,,1,,"red_berry,cherry",unpublished,half,red
almost-zero-ravishing-rose,TDS-0012,72,2026-09-18,2026-09-20,published,2,1,3,strawberry,spinning-cone,half,rose
site-riesling-dealcoholized,TDS-0109,81,2026-09-19,2026-09-20,published,2,1,3,"green_apple,pear,lemon,white_peach",vacuum-distillation,half,white
weinkonig-riesling-nr-420,TDS-0117,86,2026-09-20,2026-09-20,published,1,1,4,"green_apple,lemon,orange_peel,mineral",vacuum-distillation,half,white
be-free-rose,TDS-0001,78,2026-09-18,2026-09-20,published,2,,3,"cherry,watermelon,red_berry",unpublished,half,rose
clearscape-rose,TDS-0010,74,2026-09-18,2026-09-20,published,2,1,3,"red_berry,watermelon",unpublished,half,rose
kolonne-null-rose,TDS-0041,82,2026-09-18,2026-09-20,published,,,3,"strawberry,white_peach",vacuum-distillation,zero,rose
ohla-rose,TDS-0104,74,2026-09-19,2026-09-20,published,3,1,,red_fruit,unpublished,zero,rose
